date,total_usd_volume,total_token_volume,net_pnl,avg_exec_price,total_fees,buy_ratio,value,classification
2024-06-06,137557.76,71093.724,274.173187,30.647596965811967,37.079424,0.4358974358974359,78,Extreme Greed
2024-06-07,2490.17,983577.0,108.87217799999999,1.10232597125,344.35416,0.7083333333333334,77,Extreme Greed
2024-06-08,61478.38,305641.96643,267.318048,1056.048024274299,62.621279,0.7102803738317757,72,Greed
2024-06-09,39047.1,1449.6331,-1104.856765,215.73034285714286,13.666476,0.09523809523809523,75,Extreme Greed
2024-06-10,300130.56,4.8180499999999995,130.487079,62166.40909090909,105.045693,0.2727272727272727,72,Greed
2024-06-11,123906.9,11683.6737,2817.83723,58370.23423933333,43.36741,0.4,74,Greed
2024-06-12,3471019.22,108676.63024,-92624.643895,15604.850347196028,691.99378587,0.5086848635235732,72,Greed
2024-07-01,1048850.06,165182.52107,-835.681235,7513.911021649485,262.212464,0.5360824742268041,53,Neutral
2024-07-02,6758.73,13261.9,241.24212,3.98582,0.339693,0.4666666666666667,51,Neutral
2024-07-04,49988.14,14.7128,0.0,3398.0043478260873,17.495845,0.0,44,Fear
2024-07-05,108717.58,619867.0196,883.537693,1715.215231,38.039061,0.3333333333333333,29,Fear
2024-07-06,1098588.76,272861.1558,8902.467416,1232.3513694545454,372.962664,0.4113636363636364,26,Fear
2024-07-07,498.75,125.0,61.428942,3.9900000000000007,0.049875,0.0,29,Fear
2024-07-08,2492.77,29210.93451012,188.789255,1.594288883939394,3.7522038,0.36363636363636365,28,Fear
2024-07-10,219984.65,3.4539,0.0,63684.42857142857,76.994616,0.0,28,Fear
2024-07-11,111335.3,132565.51276,4493.353136,1338.6989985840708,26.17844238,0.4690265486725664,29,Fear
2024-07-12,451733.42,1291173.42509178,85906.279067,1359.7200135328949,108.4520379,0.3618421052631579,25,Fear
2024-08-01,1522452.43,108119.81523000001,-269.874439,15078.63093734375,380.613064,0.3125,52,Neutral
2024-08-02,26051.12,5609953.100000001,770.756024,10.0228845,3.0028870000000003,0.2,57,Greed
2024-08-03,183583.18,3448270.8,4271.886236,2.9131835970149256,-3.6716290000000003,0.2835820895522388,37,Fear
2024-08-04,211940.64,11492.048999999999,1218.4267,3295.5374166666666,61.790548,0.03333333333333333,34,Fear
2024-08-05,65973.57,239.8835,1.56576,2312.7117384615385,23.076826,0.9230769230769231,26,Fear
2024-08-06,97351.88,2425.2625000000003,129.13883900000002,10513.408993103449,34.073137,0.7241379310344828,17,Extreme Fear
2024-08-07,497.64,156.0,0.0,3.19,0.0156,1.0,29,Fear
2024-08-08,16299.35,14545.8545382,-40.712216999999995,520.3884688888888,6.647995,0.5555555555555556,20,Extreme Fear
2024-08-09,0.11,0.93414,0.0,0.11756,0.0,0.0,48,Neutral
2024-08-10,434584.13,414.530151,5396.546638,58825.33341509444,152.10422,0.9444444444444444,40,Fear
2024-08-11,270700.44,8026.56244,-64.41354100000007,46749.91446666667,93.87825699999999,0.5897435897435898,39,Fear
2024-08-12,932939.72,930353.7121,15965.933436,1787.932218347619,234.17888346,0.19523809523809524,25,Fear
2024-09-01,870051.97,129356.31168,-826.349863,14127.109546714286,204.012928,0.4,26,Fear
2024-09-03,658178.75,17984276.7,9949.501624,15.9975568974359,1.8517640000000002,0.7094017094017094,26,Fear
2024-09-04,57063.840000000004,16.2979,0.0,3501.3000000000006,19.972341,0.0,27,Fear
2024-09-05,221966.12,34670.3984,1147.595856,2667.6832657142854,77.688132,0.32142857142857145,29,Fear
2024-09-06,22410.22,479.66769999999997,0.0,1091.865705882353,7.515775,1.0,22,Extreme Fear
2024-09-07,2736.45,600.0,648.984412,4.546446666666666,0.39756800000000003,0.0,23,Extreme Fear
2024-09-08,503204.86,84372.3108,18082.071276,4675.996384345139,185.25438068,0.375,29,Fear
2024-09-09,4014.4300000000003,349080.0,0.0,0.0115,34.9079,1.0,26,Fear
2024-09-10,220399.93,3.5594,396.06272,61800.92857142857,77.139967,0.7857142857142857,33,Fear
2024-09-11,193384.41,77022.8972,102.90894,8015.27303244186,66.18450299999999,0.6162790697674418,37,Fear
2024-09-12,983949.68,170346.94181,6310.967676,3534.2818935269015,174.77343643,0.8441558441558441,31,Fear
2024-10-01,2057479.48,200302.43156,-1517.091342,12914.76879230052,434.044865,0.47668393782383417,50,Neutral
2024-10-03,219973.85,32040.08,2482.9272,34.630716666666665,2.281072,0.9047619047619048,37,Fear
2024-10-04,351735.97,102.5007,5207.443414,3433.4707317073166,123.107562,0.975609756097561,41,Fear
2024-10-05,156882.0,53.3457,2101.741695,2946.254545454545,54.90869,0.7272727272727273,49,Neutral
2024-10-06,46587.93,5358.5419,31.266804999999998,280.7776811320755,14.696328000000001,0.41509433962264153,50,Neutral
2024-10-07,687900.21,6773.8043,11977.734907,2410.4582857142855,240.76504,0.17857142857142858,50,Neutral
2024-10-08,11339.29,155667.97957,0.0,1.8675185526136362,50.0831879,0.9886363636363636,49,Neutral
2024-10-09,2547.28,66673.7621,-219.729659,1557.6705000000002,7.2904,0.3333333333333333,49,Neutral
2024-10-10,300024.33999999997,5.04899,0.0,59323.25,105.00851,1.0,39,Fear
2024-10-11,413636.7,840527.93569,991.114334,22619.335545589594,142.313546,0.2774566473988439,32,Fear
2024-10-12,3150424.08,2869587.4983333,39325.770231,2885.2128903966163,453.54068535,0.33208020050125314,49,Neutral
2024-11-01,305314.1,846.43972,-164.08950099999998,12141.70542857143,75.867171,0.6190476190476191,75,Extreme Greed
2024-11-02,212311.82,26558.56903,983.443176,17890.449081970586,24.955292,0.6764705882352942,72,Greed
2024-11-03,176519.44999999998,139371.0,3588.179495,2.647672619047619,8.47289,0.2857142857142857,74,Greed
2024-11-04,76400.96,21.5697,389.743164,3521.2125,26.740329,0.875,70,Greed
2024-11-05,63248.95,21.6418,251.604742,2922.511111111111,22.137125,0.0,70,Greed
2024-11-06,373279.92,14340.01016,4320.631811,8924.726208861788,129.928213,0.926829268292683,70,Greed
2024-11-07,169887.02,53.826499999999996,1876.812082,3151.1421052631576,59.460443,0.5263157894736842,77,Extreme Greed
2024-11-08,44230.21,95524.24650000001,847.7766200000001,892.9076233333334,40.931287,0.6666666666666666,75,Extreme Greed
2024-11-09,0.54,35870.82982,0.0,1.5e-05,0.0,0.0,75,Extreme Greed
2024-11-10,488904.19,4520.60588,8885.327477,59195.38462157692,171.116194,0.0,78,Extreme Greed
2024-11-11,1570572.42,3050577.40352,6749.630996,6882.198738908847,396.91055,0.2520107238605898,76,Extreme Greed
2024-11-12,2194098.33,371860.94751,319051.554217,4356.6742505249795,413.50923006,0.14004914004914004,80,Extreme Greed
2024-12-01,200082.27,1542.27934,-1925.519024,39774.47142857143,49.480726999999995,0.7142857142857143,81,Extreme Greed
2024-12-02,227247.69999999998,1017.55939,913.8817869999998,28717.7418125,27.111911,0.6875,80,Extreme Greed
2024-12-03,103040.85,11404.0,3039.166,9.235375,4.945953,0.125,76,Extreme Greed
2024-12-04,442088.59,21920455.0583,-592.6458390000001,555.2924815968992,97.560875,0.3333333333333333,78,Extreme Greed
2024-12-05,55179.56,34544.4206,0.0,1272.34931,19.312829,0.7391304347826086,84,Extreme Greed
2024-12-06,193407.96,37105.51234,-21886.531493,1364.4425952755905,63.921417,0.452755905511811,72,Greed
2024-12-07,89582.97,6408.3182,1412.314654,1621.380905263158,31.354029,1.0,75,Extreme Greed
2024-12-08,54167.32,59463.483204000004,858.6705000000001,855.5521279583332,36.071895,0.8125,79,Extreme Greed
2024-12-10,159713.4,2.54599,541.55471,62726.0,55.899685,0.7,78,Extreme Greed
2024-12-11,1226354.52,144432.45464,3494.399394,33638.82797450292,427.904853,0.5730994152046783,74,Greed
2024-12-12,4557189.87,1644131.25544,599151.795008,2265.6843708274846,698.96545151,0.2179089026915114,83,Extreme Greed
2025-01-01,282582.1,34746.99172,-9528.065345,8822.579264114584,31.60438221,0.7083333333333334,66,Greed
2025-01-02,1363746.44,6531578.90293,32300.205017,4211.306208217666,285.47738189,0.555205047318612,70,Greed
2025-01-03,263824.13,252969.30428563,10596.108968,3119.315583793103,37.06354539,0.603448275862069,74,Greed
